"Report Written:","Wednesday, October 23, 2024"
"Project Path:","D:\Elektronika\PCB\vfd-clock\vfd-clock.prj"
"Design Path:","D:\Elektronika\PCB\vfd-clock\vfd-clock.pcb"
"Design Title:",
"Created:","08.10.2024 22:04:11"
"Last Saved:","22.10.2024 22:51:11"
"Editing Time:","103 min"
"Units:","thou (precision 0)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"U2","1","ATMEGA16A-AU","","QFP80P1200X1200X120-44N","","ATMEGA16A-AU","","",""
"V1","1","Battery","","DSC","","","","",""
"Q1","1","BC547A","","TO921","","","","",""
"Q3","1","BC547A","","TO921","","","","",""
"Q5","1","BC547A","","TO921","","","","",""
"Q7","1","BC547A","","TO921","","","","",""
"Q9","1","BC547A","","TO921","","","","",""
"Q11","1","BC547A","","TO921","","","","",""
"Q13","1","BC547A","","TO921","","","","",""
"Q15","1","BC547A","","TO921","","","","",""
"Q17","1","BC547A","","TO921","","","","",""
"Q19","1","BC547A","","TO921","","","","",""
"Q21","1","BC547A","","TO921","","","","",""
"Q23","1","BC547A","","TO921","","","","",""
"Q25","1","BC547A","","TO921","","","","",""
"Q27","1","BC547A","","TO921","","","","",""
"Q29","1","BC547A","","TO921","","","","",""
"Q31","1","BC547A","","TO921","","","","",""
"Q34","1","BC547A","","TO921","","","","",""
"Q2","1","BC557B","","TO92127P460H470-3","","","","",""
"Q4","1","BC557B","","TO92127P460H470-3","","","","",""
"Q6","1","BC557B","","TO92127P460H470-3","","","","",""
"Q8","1","BC557B","","TO92127P460H470-3","","","","",""
"Q10","1","BC557B","","TO92127P460H470-3","","","","",""
"Q12","1","BC557B","","TO92127P460H470-3","","","","",""
"Q14","1","BC557B","","TO92127P460H470-3","","","","",""
"Q16","1","BC557B","","TO92127P460H470-3","","","","",""
"Q18","1","BC557B","","TO92127P460H470-3","","","","",""
"Q20","1","BC557B","","TO92127P460H470-3","","","","",""
"Q22","1","BC557B","","TO92127P460H470-3","","","","",""
"Q24","1","BC557B","","TO92127P460H470-3","","","","",""
"Q26","1","BC557B","","TO92127P460H470-3","","","","",""
"Q28","1","BC557B","","TO92127P460H470-3","","","","",""
"Q30","1","BC557B","","TO92127P460H470-3","","","","",""
"Q32","1","BC557B","","TO92127P460H470-3","","","","",""
"Q33","1","BC557B","","TO92127P460H470-3","","","","",""
"C1","1","Capacitor","","0805","","","","","Capacitor"
"C2","1","Capacitor","","0805","","","","","Capacitor"
"C3","1","Capacitor","","0805","","","","","Capacitor"
"SPEAKER","1","CONN_SIL_2","","DSC","","","","","2 way Pin Header"
"ALM_BUTTON","1","CONN_SIL_2","","DSC","","","","","2 way Pin Header"
"SET_BUTTON","1","CONN_SIL_2","","DSC","","","","","2 way Pin Header"
"PLUS_BUTTON","1","CONN_SIL_2","","DSC","","","","","2 way Pin Header"
"ALM_BUTTON_LIGHT","1","CONN_SIL_2","","DSC","","","","","2 way Pin Header"
"POWER","1","CONN_SIL_2","","DSC","","","","","2 way Pin Header"
"U1","1","DS3231M+","","SOIC127P1032X265-16N","","","","",""
"DISP1","1","IV-6","","MISC","","","","","VFD 7 segment display IV-6"
"DISP2","1","IV-6","","MISC","","","","","VFD 7 segment display IV-6"
"DISP3","1","IV-6","","MISC","","","","","VFD 7 segment display IV-6"
"DISP4","1","IV-6","","MISC","","","","","VFD 7 segment display IV-6"
"DISP5","1","IV-6","","MISC","","","","","VFD 7 segment display IV-6"
